Commune,Average registered price per squared meter in €,MinPriceSMuc,MaxPriceSMuc,Year
Rambrouch,4845.979,3221,6853,2012
Reckange-sur-Mess,4845.979,3221,6853,2012
Redange,4845.979,3221,6853,2012
Reisdorf,4845.979,3221,6853,2012
Remich,4219.075,2780,4972,2012
Roeser,4806.334,4276,5922,2012
Rosport,4845.979,3221,6853,2012
Rumelange,4076.799,3416,4891,2012
Saeul,4845.979,3221,6853,2012
Sandweiler,4845.979,3221,6853,2012
Sanem,4215.595,3197,5082,2012
Schengen,4590.349,3903,5184,2012
Schieren,4247.219,3604,4778,2012
Schifflange,4248.729,3076,5139,2012
Schuttrange,4845.979,3221,6853,2012
Septfontaines,4845.979,3221,6853,2012
Stadtbredimus,4845.979,3221,6853,2012
Steinfort,4178.706,3862,4564,2012
Steinsel,4845.979,3221,6853,2012
Strassen,5966.764,4600,7121,2012
Tandel,4845.979,3221,6853,2012
Troisvierges,4845.979,3221,6853,2012
Tuntange,4845.979,3221,6853,2012
Useldange,4845.979,3221,6853,2012
Vallée de l'Ernz,4845.979,3221,6853,2012
Vianden,4845.979,3221,6853,2012
Vichten,4845.979,3221,6853,2012
Wahl,4845.979,3221,6853,2012
Waldbillig,4845.979,3221,6853,2012
Waldbredimus,4845.979,3221,6853,2012
Walferdange,4845.979,3221,6853,2012
Weiler-la-Tour,4845.979,3221,6853,2012
Weiswampach,3861.883,3069,5578,2012
Wiltz,4845.979,3221,6853,2012
Wincrange,4845.979,3221,6853,2012
Winseler,4845.979,3221,6853,2012
Wormeldange,4845.979,3221,6853,2012
National Average,4845.979,3221,6853,2012
Beaufort,5191,3382,7502,2013
Bech,5191,3382,7502,2013
Beckerich,5191,3382,7502,2013
Berdorf,5191,3382,7502,2013
Bertrange,6194.925,5321,7041,2013
Bettembourg,5178.687,4078,6516,2013
Bettendorf,5191,3382,7502,2013
Betzdorf,5191,3382,7502,2013
Bissen,5191,3382,7502,2013
Biwer,5191,3382,7502,2013
Boevange-sur-Attert,5191,3382,7502,2013
Boulaide,5191,3382,7502,2013
Bourscheid,5191,3382,7502,2013
Bous,5191,3382,7502,2013
Clervaux,5191,3382,7502,2013
Colmar-Berg,5191,3382,7502,2013
Consdorf,5191,3382,7502,2013
Contern,5191,3382,7502,2013
Dalheim,5191,3382,7502,2013
Diekirch,4640.46,3722,5211,2013
Differdange,3870.767,3198,4683,2013
Dippach,5191,3382,7502,2013
Dudelange,4687.194,3710,5479,2013
Echternach,5191,3382,7502,2013
