Commune,Number of sales,Average registered price per squared meter in €,MinPriceSM,MaxPriceSM,Year,,,,,,,,,,,
Lac de la Haute-Sûre,3,3998.736,2543,5933,2012,,,,,,,,,,,
Larochette,11,3167.2919999999999,2055,3916,2012,,,,,,,,,,,
Lenningen,5,3998.736,2543,5933,2012,,,,,,,,,,,
Leudelange,13,4614.3760000000002,3715,5591,2012,,,,,,,,,,,
Lintgen,23,3884.23,2767,4920,2012,,,,,,,,,,,
Lorentzweiler,6,3998.736,2543,5933,2012,,,,,,,,,,,
Luxembourg City,458,5071.2030000000004,3520,6845,2012,,,,,,,,,,,
Mamer,31,4331.8280000000004,3074,5279,2012,,,,,,,,,,,
Manternach,1,3998.736,2543,5933,2012,,,,,,,,,,,
Mersch,41,3908.377,2970,4670,2012,,,,,,,,,,,
Mertert,14,3468.2959999999998,1804,4368,2012,,,,,,,,,,,
Mertzig,2,3998.736,2543,5933,2012,,,,,,,,,,,
Mompach,1,3998.736,2543,5933,2012,,,,,,,,,,,
Mondercange,29,3840.8470000000002,2863,4995,2012,,,,,,,,,,,
Mondorf-les-Bains,38,4122.83,3201,5078,2012,,,,,,,,,,,
Niederanven,2,3998.736,2543,5933,2012,,,,,,,,,,,
Nommern,0,3998.736,2543,5933,2012,,,,,,,,,,,
Parc Hosingen,10,3044.01,2454,3462,2012,,,,,,,,,,,
Petange,110,3490.944,2564,4396,2012,,,,,,,,,,,
Preizerdaul,1,3998.736,2543,5933,2012,,,,,,,,,,,
Putscheid,1,3998.736,2543,5933,2012,,,,,,,,,,,
Rambrouch,6,3998.736,2543,5933,2012,,,,,,,,,,,
Reckange-sur-Mess,5,3998.736,2543,5933,2012,,,,,,,,,,,
Redange,9,3998.736,2543,5933,2012,,,,,,,,,,,
Reisdorf,2,3998.736,2543,5933,2012,,,,,,,,,,,
Remich,28,3548.2080000000001,2460,4846,2012,,,,,,,,,,,
Roeser,35,4378.42,3497,5742,2012,,,,,,,,,,,
Rosport,3,3998.736,2543,5933,2012,,,,,,,,,,,
