Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Grevenmacher,31,3579.866,2121,4622,3486.124,3020,4017,2011
Grosbous,2,3858.319,2533,5487,4633.802,3232,6448,2011
Heffingen,2,3858.319,2533,5487,4633.802,3232,6448,2011
Hesperange,92,4423.53,3053,5545,5100.993,3821,5907,2011
Hobscheid,25,3496.858,2870,4344,3607.754,3300,3878,2011
Junglinster,20,3876.126,3141,4861,4298.82,3758,4946,2011
Kaerjeng,60,3655.145,2932,4670,4233.321,3642,4953,2011
Kayl,48,3521.893,2586,4386,3914.491,3294,4520,2011
Kehlen,11,3745.568,2201,4505,4249.167,3916,5322,2011
Kiischpelt,2,3858.319,2533,5487,4633.802,3232,6448,2011
Koerich,2,3858.319,2533,5487,4633.802,3232,6448,2011
Kopstal,5,3858.319,2533,5487,5799.917,4439,7212,2011
Lac de la Haute-S?e,2,3858.319,2533,5487,4633.802,3232,6448,2011
Larochette,15,3106.795,2226,3945,4633.802,3232,6448,2011
Lenningen,4,3858.319,2533,5487,4633.802,3232,6448,2011
Leudelange,18,4475.248,3361,5648,5066.268,4606,5669,2011
Lintgen,18,3674.715,2714,4862,4633.802,3232,6448,2011
Lorentzweiler,16,4037.158,2744,5018,4633.802,3232,6448,2011
Luxembourg City,506,4721.346,3209,6376,5469.143,4288,7042,2011
Mamer,23,4116.783,2830,4849,5080.397,4152,5672,2011
Manternach,1,3858.319,2533,5487,4633.802,3232,6448,2011
Mersch,39,3786.041,2548,5133,4444.478,3467,5228,2011
Mertert,30,3429.063,2366,4224,3999.828,3048,4576,2011
Mertzig,4,3858.319,2533,5487,4633.802,3232,6448,2011
Mompach,0,3858.319,2533,5487,4633.802,3232,6448,2011
Mondercange,30,3750.917,3034,5091,4633.802,3232,6448,2011
Mondorf-les-Bains,50,3824.959,2863,4791,4633.802,3232,6448,2011
Niederanven,2,3858.319,2533,5487,4633.802,3232,6448,2011
Nommern,1,3858.319,2533,5487,4633.802,3232,6448,2011
Parc Hosingen,9,3858.319,2533,5487,4633.802,3232,6448,2011
Petange,107,3486.133,2386,4844,3542.348,2908,4149,2011
Preizerdaul,2,3858.319,2533,5487,4633.802,3232,6448,2011
Putscheid,1,3858.319,2533,5487,4633.802,3232,6448,2011
Rambrouch,4,3858.319,2533,5487,4633.802,3232,6448,2011
Reckange-sur-Mess,9,3858.319,2533,5487,4633.802,3232,6448,2011
Redange,9,3858.319,2533,5487,4633.802,3232,6448,2011
Reisdorf,2,3858.319,2533,5487,4633.802,3232,6448,2011
Remich,42,3585.959,2442,4474,4633.802,3232,6448,2011
Roeser,55,4290.286,3484,5154,4661.442,4080,6100,2011
Rosport,4,3858.319,2533,5487,4633.802,3232,6448,2011
Rumelange,27,3224.222,2179,4190,3447.223,2967,4262,2011
Saeul,8,3858.319,2533,5487,4633.802,3232,6448,2011
Sandweiler,10,4613.913,3467,5791,4684.979,4050,5306,2011
Sanem,66,3457.655,2618,4116,3982.836,3257,5005,2011
Schengen,25,3359.153,2364,4084,3631.195,3069,3969,2011
Schieren,5,3858.319,2533,5487,4237.6,3728,4651,2011
Schifflange,48,3670.49,2420,4802,3755.776,2912,4862,2011
Schuttrange,12,3997.651,3208,5467,4633.802,3232,6448,2011
Septfontaines,0,3858.319,2533,5487,4633.802,3232,6448,2011
Stadtbredimus,8,3858.319,2533,5487,4633.802,3232,6448,2011
Steinfort,10,3724.306,2627,4333,4633.802,3232,6448,2011
Steinsel,5,3858.319,2533,5487,4633.802,3232,6448,2011
Strassen,49,4525.211,3362,5682,5657.992,4746,6869,2011
Tandel,4,3858.319,2533,5487,4633.802,3232,6448,2011
Troisvierges,3,3858.319,2533,5487,4633.802,3232,6448,2011
Tuntange,2,3858.319,2533,5487,3740.663,3189,4394,2011
Useldange,5,3858.319,2533,5487,4633.802,3232,6448,2011
Vall? de l'Ernz,10,2957.284,2127,3773,4633.802,3232,6448,2011
Vianden,3,3858.319,2533,5487,4633.802,3232,6448,2011
Vichten,5,3858.319,2533,5487,4633.802,3232,6448,2011
Wahl,3,3858.319,2533,5487,4633.802,3232,6448,2011
Waldbillig,1,3858.319,2533,5487,4633.802,3232,6448,2011
Waldbredimus,3,3858.319,2533,5487,4633.802,3232,6448,2011
Walferdange,44,4292.468,3148,5435,4633.802,3232,6448,2011
Weiler-la-Tour,7,3858.319,2533,5487,4389.929,3859,5095,2011
Weiswampach,7,3858.319,2533,5487,4633.802,3232,6448,2011
Wiltz,18,2982.909,2097,4691,4633.802,3232,6448,2011
Wincrange,4,3858.319,2533,5487,4633.802,3232,6448,2011
Winseler,8,3858.319,2533,5487,4633.802,3232,6448,2011
Wormeldange,15,3108.051,1963,4442,4633.802,3232,6448,2011
Beaufort,8,3998.736,2543,5933,4845.979,3221,6853,2012
